area;suites;bathrooms;parkings;value
107;1;3;1;1200000
136;1;3;1;1600000
120;1;3;1;1300000
88;1;2;2;1650000
144;1;3;1;1915000
125;1;3;1;1500000
222;2;3;2;4400000
115;1;3;1;1300000
170;1;3;1;1850000
104;1;2;1;2129000
160;1;1;2;1700000
136;1;3;3;1870000
98;1;3;1;1180000
207;3;1;2;3200000
80;1;2;1;1070000
126;1;3;1;1588000
35;1;1;1;886344
100;1;3;1;1060000
112;1;3;2;1650000
129;1;3;1;1460000
172;1;3;1;1720000
97;1;2;1;1080000
156;1;3;2;1850000
139;1;2;1;1400000
80;1;3;1;1252000
120;1;3;1;1250000
94;1;2;1;1350000
186;1;3;3;2430000
62;1;2;1;1290000
142;1;3;2;1700000
119;1;3;2;1700000
96;1;3;1;990000
198;1;3;1;2090000
103;2;2;1;1330000
30;1;1;1;774354
30;1;1;1;774353
30;1;1;1;774354
30;1;1;1;774353
143;1;3;1;1100000
225;1;2;2;3290000
204;1;3;2;2050000
219;2;2;1;2300000
30;1;1;1;730000
128;1;3;1;880000
94;1;3;1;989000
115;1;3;1;1300000
155;1;3;2;1600000
203;1;3;2;2100000
203;1;3;1;2400000
230;1;2;2;3200000
120;1;3;1;1700000
120;1;3;1;1050000
160;1;3;2;1580000
176;1;2;2;3035000
100;2;1;1;1300000
189;1;3;1;2100000
146;1;3;1;1650000
210;3;3;3;3600000
222;2;3;2;4400000
30;1;1;1;774353
154;1;3;1;1800000
95;1;2;1;1190000
123;2;3;1;1748000
220;1;3;1;2,00E+06
115;1;3;1;1335000
80;1;2;1;1070000
115;1;3;1;1140000
183;1;2;3;2400000
112;1;3;2;1630000
150;1;2;3;2790000
87;1;1;1;880000
71;1;1;1;1300000
129;1;2;1;1500000
120;1;1;2;1700000
153;1;3;1;2150000
86;2;2;1;1146000
76;1;2;1;780000
190;1;3;2;2150000
169;1;3;1;1800000
138;1;3;1;1500000
156;1;2;2;2290000
136;1;3;3;1870000
137;1;2;1;1280000
160;1;3;2;1580000
150;2;3;1;1915000
154;1;3;1;1600000
106;1;2;1;1400000
111;1;3;1;1485000
158;1;3;1;1690000
154;1;3;1;1800000
174;1;2;1;2400000
180;1;2;1;1500000
192;2;3;2;2990000
110;1;3;1;1200000
95;2;3;1;1300000
125;1;3;1;1650000
300;1;1;2;3500000
178;1;3;1;1800000
145;1;3;2;1590000
85;1;3;1;950000
210;3;3;3;2500000
190;1;3;1;2200000
165;1;3;1;1850000
130;1;2;1;1450000
130;1;1;1;1500000
90;1;3;1;1300000
115;1;3;1;1350000
118;1;3;1;1580000
122;1;3;2;1700000
207;1;3;2;2300000
140;1;3;1;1500000
119;1;3;1;1250000
144;1;3;2;1350000
135;2;3;3;2300000
128;1;3;1;1850000
148;1;3;1;1490000
120;1;3;1;1050000
162;1;1;1;1680000
141;1;3;2;1700000
149;1;3;1;1690000
207;1;3;2;2100000
140;1;1;2;1676000
103;1;3;1;1100000
122;1;3;1;1200000
103;2;3;1;1350000
116;2;2;2;2,00E+06
205;1;3;2;2200000
152;1;3;1;1850000
275;1;2;2;3800000
47;1;2;1;670000
172;2;3;2;2100000
174;2;3;3;3500000
181;1;3;3;2650000
90;1;1;2;1590000
226;1;3;2;2200000
96;1;3;1;1050000
119;1;3;2;1700000
115;1;3;1;1350000
86;1;1;2;1380000
200;1;3;1;1900000
195;2;2;1;4,00E+06
150;2;3;3;1590000
163;1;2;1;1800000
153;1;3;2;1900000
207;1;3;2;2750000
130;1;1;2;1450000
212;1;3;2;2100000
111;1;2;1;1350000
120;1;3;2;1650000
116;1;3;1;1500000
162;1;3;1;1500000
183;1;3;1;1700000
300;1;3;2;4,00E+06
207;1;2;2;2390000
120;1;3;1;1,00E+06
189;1;2;1;1980000
207;1;3;2;2300000
120;1;3;1;1150000
271;1;2;2;3300000
162;1;1;1;1750000
230;2;3;2;3490000
119;1;3;1;960000
260;1;3;2;2600000
117;1;3;1;1100000
120;1;3;1;1600000
156;1;3;2;2290000
213;1;3;1;2850000
120;1;2;1;1,00E+06
117;1;3;1;1270000
107;1;3;1;1200000
160;1;3;2;1580000
180;1;3;1;1499000
190;1;3;1;2200000
153;1;3;1;2150000
200;1;2;2;2700000
90;1;3;1;868000
226;1;3;2;2200000
186;1;3;1;2700000
124;1;1;2;1680000
225;1;3;3;2800000
95;1;3;1;1200000
179;1;3;1;1650000
110;1;3;1;1400000
228;1;2;2;3160000
79;1;2;1;850000
300;1;1;3;3500000
184;1;2;1;2890000
110;1;2;1;1200000
131;1;3;1;1700000
169;1;3;2;1950000
138;1;2;1;1060000
286;3;3;2;4390000
155;1;3;2;2985000
88;1;1;1;1060000
130;1;3;1;1700000
152;1;3;1;1850000
226;2;3;2;3490000
160;1;3;2;1580000
124;1;3;1;1,00E+06
236;1;1;2;2862000
187;1;3;2;2600000
178;1;3;1;1650000
163;3;3;2;2470000
109;1;2;2;1550000
115;1;3;1;1285000
273;3;3;2;3500000
120;1;3;1;1600000
115;1;2;1;1300000
137;1;3;2;1850000
140;1;3;1;1350000
306;1;2;3;3,00E+06
130;1;3;1;1600000
228;1;3;2;3160000
345;1;2;2;3,00E+06
119;1;3;1;1750000
136;1;3;1;1450000
118;1;3;1;980000
109;1;2;2;1350000
124;1;3;2;1600000
55;1;1;1;1080000
86;1;1;1;920000
112;2;3;1;1790000
230;2;3;2;3490000
80;1;3;1;1280000
198;3;3;2;2500000
136;1;3;1;1050000
115;1;3;2;1500000
129;1;3;2;1300000
188;1;3;2;2600000
104;1;2;1;2129000
85;1;2;1;1100000
249;3;3;2;3990000
131;1;2;1;1500000
220;1;2;2;3400000
96;1;3;1;1070000
207;1;3;2;2300000
160;1;3;1;1900000
156;1;3;2;2,00E+06
122;1;3;2;1700000
81;1;1;1;1280000
120;1;3;1;1050000
100;1;1;2;1650000
162;1;2;1;1850000
156;3;3;2;2190000
153;1;3;1;2495000
96;1;2;1;860000
205;1;3;1;2400000
155;1;2;1;1850000
115;1;3;1;1650000
154;1;3;1;1800000
97;1;2;1;1200000
43;1;1;1;562000
45;1;1;1;405000
95;1;3;1;940000
192;1;2;1;2,00E+06
117;1;3;1;1100000
165;3;3;1;1650000
160;3;3;2;2270000
95;1;1;1;2450000
186;1;3;2;2350000
124;1;3;1;1030000
250;1;3;2;3500000
100;1;2;1;1240000
173;2;3;3;3,00E+06
279;3;3;3;5860000
115;1;3;1;1500000
163;3;3;2;2490000
160;1;3;2;1550000
71;1;2;1;1490000
111;1;3;1;1485000
162;1;3;1;2480000
190;1;3;1;2100000
206;1;3;2;2500000
213;1;3;1;2850000
90;1;2;1;1100000
110;1;2;1;1280000
98;1;1;1;1600000
162;1;3;1;1600000
96;1;3;1;850000
101;2;2;1;1370000
117;1;3;1;1170000
228;1;3;2;3160000
182;3;3;3;2400000
103;1;2;1;1,00E+06
113;2;2;1;1400000
214;1;3;1;2500000
80;1;2;1;1070000
219;2;3;1;2300000
230;1;1;2;2400000
80;1;2;1;1100000
150;2;3;2;2145000
146;1;3;1;1280000
119;1;3;2;960000
96;1;3;1;1180000
130;1;3;1;1550000
286;3;1;2;4390000
200;1;3;1;1900000
136;2;3;2;2100000
103;1;3;1;1100000
70;1;2;1;1119000
68;2;3;2;870000
150;2;3;3;1590000
100;2;2;2;2500000
130;1;1;2;1450000
192;1;2;1;2350000
112;1;3;1;1290000
156;3;3;2;2270000
160;1;3;2;1600000
363;2;1;3;3200000
226;1;3;2;2200000
150;2;3;3;1590000
115;1;2;1;1350000
117;1;3;1;1200000
94;2;2;2;1549000
130;1;3;2;1696000
119;1;3;1;1250000
140;1;3;1;1698000
287;3;3;2;4390000
136;1;3;1;1600000
160;3;3;2;2270000
215;1;3;1;1700000
123;1;2;2;1700000
40;1;1;1;550000
130;1;3;2;1705000
130;1;3;1;1700000
90;1;3;2;1590000
160;1;2;2;1800000
61;1;2;2;750000
70;1;2;1;850000
136;1;3;1;1590000
130;1;1;2;1450000
249;2;2;1;3250000
250;1;3;2;2800000
172;2;3;2;2100000
156;2;3;3;3150000
150;1;3;2;1840000
210;2;3;2;3250000
225;1;3;2;3700000
120;1;2;1;1050000
95;2;1;1;1295000
287;3;3;2;4390000
109;1;3;1;1100000
96;1;3;1;990000
275;3;3;3;5200000
208;2;2;2;2500000
158;1;3;1;1490000
115;2;3;1;1750000
95;2;3;1;1298000
187;2;3;2;5200000
94;1;3;1;989000
110;1;3;1;1485000
292;1;1;3;2120000
200;1;3;2;2600000
207;1;1;2;2150000
266;2;2;1;2300000
128;1;3;1;1350000
156;1;3;2;2280000
140;2;2;1;1750000
250;1;3;2;2900000
46;1;1;1;550000
266;2;3;2;4595000
197;1;3;1;2500000
89;2;3;2;1650000
112;2;1;1;1790000
197;1;3;1;2090000
108;1;3;1;940000
136;1;3;1;1500000
130;1;2;1;1380000
96;1;3;1;850000
140;1;2;1;1900000
130;1;3;1;1500000
96;1;3;1;1,00E+06
223;2;2;2;2650000
156;3;1;2;2190000
150;1;3;1;1300000
207;1;3;2;2095000
187;1;2;1;1700000
118;1;3;1;980000
39;1;1;1;590000
250;2;3;2;2389000
198;1;3;2;1600000
110;1;2;1;1100000
194;1;2;1;1995000
160;3;3;2;2270000
226;1;3;1;1800000
157;1;2;1;2290000
116;1;2;2;1200000
46;1;1;1;550000
187;1;3;3;2800000
180;1;3;1;1499900
180;1;3;2;2,00E+06
180;2;2;3;3,00E+06
230;1;3;2;3100000
160;1;3;1;1834000
81;1;2;1;850000
100;1;3;1;1100000
184;1;2;1;2950000
240;1;3;2;2500000
136;2;3;2;2100000
220;1;2;2;2850000
153;1;3;1;1390000
162;1;2;1;1750000
70;1;1;1;1202975
70;1;2;1;980000
154;2;3;2;4450000
180;1;2;1;2190000
179;1;3;1;2075000
78;1;2;1;8,00E+05
78;1;2;2;1600000
117;1;2;1;1060000
125;1;3;1;1400000
223;2;2;2;2540000
110;1;3;1;1380000
231;2;3;2;3200000
151;1;3;1;1990000
78;1;2;2;850000
98;1;2;1;1200000
180;2;3;1;2120000
153;1;3;1;2350000
86;1;3;1;1150000
110;1;2;2;2450000
121;1;2;1;1400000
160;1;3;2;2095000
96;1;3;1;1350000
61;1;2;1;1060000
120;1;1;1;1400000
206;1;3;2;2450000
110;1;3;1;1350000
190;1;3;1;2,00E+06
120;1;3;1;1190000
150;2;3;3;1590000
249;3;1;2;3990000
61;1;2;2;750000
136;2;3;2;2100000
210;1;3;2;3200000
120;1;3;1;1748000
105;1;3;1;1198000
210;1;2;2;3,00E+06
117;1;1;1;1750000
153;1;2;1;1500000
204;3;3;2;4300000
144;1;3;2;1500000
105;1;3;2;1500000
204;1;3;2;2050000
160;1;3;1;1580000
249;2;2;1;3250000
231;1;3;1;2200000
210;1;3;2;2100000
124;1;1;1;1380000
203;1;2;1;2600000
136;1;3;1;1700000
106;1;3;2;1850000
158;1;3;1;764900
198;1;2;2;2650000
142;1;2;1;1360000
225;1;3;3;2800000
187;1;2;1;2350000
189;1;3;1;2400000
118;1;3;1;980000
208;1;1;2;2800000
110;1;3;1;1300000
230;2;3;2;3490000
294;2;3;2;3500000
105;1;3;2;1300000
120;1;3;1;1500000
80;1;1;2;1800000
150;2;3;3;1590000
203;1;3;2;1720000
260;3;3;2;3,00E+06
96;1;3;1;1080000
220;1;2;2;2120000
230;1;3;2;2750000
144;1;2;1;1915000
181;1;2;3;2650000
117;1;3;2;1400000
96;1;3;1;1350000
252;2;2;2;3450000
203;3;3;2;3150000
125;1;2;1;1800000
142;1;3;2;1700000
160;1;3;2;1755000
219;1;2;2;3500000
94;1;2;2;1140000
345;3;3;2;4950000
98;1;2;1;1270000
89;2;3;2;1650000
140;1;3;1;1484000
230;3;1;2;2800000
287;3;2;2;4390000
120;1;3;2;1450000
187;1;3;1;2850000
95;1;2;1;940000
192;2;3;1;2700000
210;2;3;2;3250000
120;1;3;1;1345000
110;1;2;2;1700000
110;1;3;1;1398000
167;1;2;2;2,00E+06
94;2;3;2;1549000
250;3;3;2;3390000
150;1;2;1;1700000
186;3;3;3;2340000
141;1;3;2;1700000
165;3;3;1;1800000
155;1;2;2;1170000
97;1;2;1;1,00E+06
154;1;3;2;2250000
122;1;3;2;1498000
140;2;3;1;2500000
220;1;1;2;2750000
110;1;2;2;1500000
274;2;3;2;2550000
131;1;2;1;1500000
200;1;2;2;2600000
110;1;3;1;1200000
208;2;1;2;2710000
119;1;3;2;960000
90;2;2;2;1590000
180;1;3;2;1920000
174;1;1;1;2400000
186;1;2;1;1850000
130;1;3;2;1448000
239;2;2;2;3200000
129;1;3;1;1290000
34;1;1;1;540000
172;2;2;2;2400000
176;1;2;2;2860000
207;1;3;2;2800000
183;1;3;1;1700000
124;1;3;2;1700000
200;1;2;2;1650000
180;1;3;1;2560000
286;3;3;2;4390000
214;1;3;2;2350000
140;1;2;1;1450000
87;1;3;1;880000
103;1;2;1;1,00E+06
106;1;2;1;1,00E+06
176;1;2;2;2800000
150;1;3;1;1650000
195;2;2;2;5551800
139;1;3;1;1300000
86;1;2;1;1120000
223;2;3;3;4500000
162;1;2;1;1680000
189;1;3;1;1600000
89;1;2;2;1300000
150;2;3;3;1590000
210;3;1;3;3600000
87;1;2;1;8,00E+05
82;1;2;2;2100000
126;1;1;1;1380000
136;1;1;1;1060000
230;3;3;3;3790000
124;1;1;2;1400000
124;2;3;2;1680000
206;1;2;2;2400000
136;1;2;2;1696000
203;3;3;2;3250000
130;1;3;1;1590000
110;1;3;1;979000
90;1;2;1;1280000
178;2;3;1;2900000
202;1;3;1;2150000
120;1;3;1;1300000
207;1;2;2;2450000
145;2;1;2;2180000
169;1;3;2;2190000
286;1;3;2;3875000
150;1;3;3;2900000
140;2;3;2;1280000
151;2;2;3;2900000
208;1;3;1;2600000
154;1;2;2;1980000
214;3;3;3;3200000
287;3;3;2;4390000
93;1;2;2;1790000
140;1;3;1;1800000
220;1;3;1;2220000
227;2;3;3;2750000
105;1;3;1;1500000
145;1;3;2;1700000
119;1;2;2;1500000
100;1;3;1;1240000
60;1;1;1;1041862
139;1;3;1;1590000
183;1;3;1;1900000
70;1;2;1;1028215
406;3;1;3;8,00E+06
112;1;3;1;1390000
112;1;3;1;1490000
111;1;2;1;1380000
35;1;1;1;490000
169;1;3;1;1870000
210;2;3;2;3250000
110;2;2;1;1350000
150;1;3;1;1600000
130;1;3;1;1250000
43;1;1;1;650000
110;1;2;1;1550000
156;1;2;2;2290000
206;1;2;2;2400000
113;1;2;2;1650000
72;1;1;1;1727950
95;1;3;2;1350000
215;1;3;2;2800000
123;1;3;1;1200000
167;1;3;1;1300000
220;1;2;2;3400000
230;3;3;2;3050000
129;1;3;1;1500000
275;1;1;3;5,00E+06
115;1;2;1;1350000
180;2;2;3;3,00E+06
175;1;1;1;1950000
160;1;2;1;1750000
207;1;2;2;2400000
134;1;3;1;1500000
300;2;3;2;3500000
230;2;3;3;3500000
146;1;3;1;1500000
195;2;2;2;5551800
95;2;3;1;1300000
120;1;3;1;1300000
245;3;3;2;3400000
220;1;3;1;2,00E+06
144;1;2;1;1914000
180;1;1;1;1800000
142;1;3;2;1700000
180;1;3;1;1498000
160;1;3;1;1950000
179;1;3;1;1700000
64;1;1;2;710000
220;1;3;2;3500000
128;1;3;1;880000
138;1;3;1;1700000
156;3;3;1;2200000
147;2;3;3;1595000
239;1;3;2;3,00E+06
162;1;3;1;1850000
162;1;1;1;1750000
300;1;3;3;4600000
140;1;3;2;1700000
133;2;3;1;1890000
66;1;1;1;9,00E+05
163;3;1;2;2490000
203;3;3;2;3150000
219;2;3;1;4,00E+06
220;1;3;2;3400000
205;1;2;1;2400000
43;1;1;1;650000
180;1;3;2;2100000
87;1;1;1;990000
236;2;3;1;2300000
103;1;3;1;1280000
223;2;1;2;2600000
154;1;3;1;1780000
115;1;3;1;1290000
230;1;1;2;3200000
96;1;3;1;940000
241;1;2;2;3400000
98;2;3;1;1290000
117;1;3;1;1115000
150;2;2;3;1620000
109;1;3;1;1445000
135;1;3;1;1570000
183;1;1;1;1700000
167;1;3;1;1990000
117;1;3;1;860000
130;1;3;1;1800000
145;1;1;1;1550000
130;1;2;1;1340000
187;1;3;1;1800000
215;1;3;1;1700000
115;1;3;1;1500000
150;1;2;1;1800000
136;1;2;3;1670000
95;1;1;1;940000
160;1;3;2;1750000
245;1;3;1;2600000
162;1;1;1;1680000
212;1;1;2;2,00E+06
189;1;3;1;2100000
180;1;3;1;1380000
208;2;3;1;3,00E+06
96;1;2;1;1200000
60;1;2;1;1170000
176;1;3;2;2390000
120;1;2;2;1450000
117;1;2;1;1100000
196;1;3;2;2100000
142;1;3;1;1915000
95;1;3;2;1350000
180;1;2;1;2100000
136;1;1;1;1060000
170;1;2;2;1870000
245;1;2;2;3370000
212;1;3;2;1995000
